label	tagged_in_context
not_propaganda	It <BOS> is believed to be <EOS> spread over long distances by bats, which can host the virus without dying. 
not_propaganda	The economy in Puerto Rico is <BOS> at a standstill, and without clean drinking water, many are finding life <EOS> too difficult should they remain on the island and isolated. 
not_propaganda	Neither the pope, nor any of <BOS> the cardinals in Rome have denied the facts <EOS> I asserted in my testimony. 
repetition	For too long we have diminished the reality of sin — we have refused to call a sin a <BOS> sin <EOS> — and we have excused sin in the name of a mistaken notion of mercy. 
not_propaganda	“John is someone who understands the danger of Iran viscerally, and knows that you’re never going to fundamentally change its behavior—and the threats against Israel and the <BOS> Saudis especially—until that revolutionary regime is gone,” the source said, adding that “nothing’s <EOS> off the table right now if Israel is attacked.” 
doubt	<BOS> Is it any wonder that so many Catholics have become disaffected <EOS>? 
flag_waving	"<BOS> This country is being ripped apart here, and we've got to make sure we do due diligence <EOS>," Flake said. 
name_calling,labeling	And as our Ramadan willful blindness continues, more <BOS> Infidels <EOS> will die. 
not_propaganda	<BOS> How can they possibly hold those two contradictory <EOS> ideas at the same time? 
not_propaganda	Article 39 tells us some criteria for making <BOS> foundations that “must be considered in their <EOS> entirety and from an overall perspective.” 
appeal_to_fear_prejudice	“<BOS> I have done what I believe God wanted me to do,[ <EOS>1]” he said. 
repetition	<BOS> That is hierarchy <EOS>. 
doubt	<BOS> You, Dicky Durban [sic], are a complete FRAUD <EOS>.” Ms. Broaddrick also said that if Senate Democrats want the FBI to investigate the 36-year-old accusations against Mr. Kavanaugh, they should reopen her 40-year-old case, too. 
not_propaganda	Is this what is being preached from the <BOS> pulpits <EOS> across America today? 
not_propaganda	<BOS> Average age: <EOS> 70,6 
flag_waving	This would actually be the perfect time for Trump not to appoint an ambassador to the UN and call for the US to exit the <BOS> anti-American <EOS> organization and demand Congress stop funding it and evict the UN from US soil, but I'm not holding my breath. 
name_calling,labeling	And here's J Street trying to decide whether to stop endorsing <BOS> a Democrat who pals around with Farrakhan <EOS> and defended him by mentioning the "Jewish question." 
not_propaganda	In fact, all of the evidence and all of the witnesses to date, including Dr. Ford's friend, whom she claims was in the same house that the attack occurred refute her <BOS> claims. <EOS> 
repetition	For example, the organization writes in support of David Hogg's #NeverAgain movement, "WHEREAS, the U.S. Conference of Mayors has a 50-year history of formally adopting and aggressively promoting strong policies to reduce gun violence, all <BOS> consistent <EOS> with its support for the Second Amendment to the Constitution." 
causal_oversimplification	<BOS> Sodom and Gomorrah serve as a powerful example of how God feels about sin in general, and homosexuality specifically <EOS>. 
causal_oversimplification	“Their only defense was that the activities they described were either non-partisan or were not officially taken by the company,” Carlson said Monday night, describing Google’s official response to his requests for comment, before challenging the company’s response: “<BOS> But of course they were both <EOS>. 
not_propaganda	Trump expresses sympathy <BOS> for Reality <EOS> Winner, whose mom asks for pardon 
not_propaganda	The lawyer said the type and quantity of ammunition Paddock <BOS> bought from <EOS> his client wasn't unusual. 
causal_oversimplification	<BOS> It goes without saying that this retraction and surrender by Facebook occurred only because of the wide publicity that Jamie's banning had received <EOS>. 
name_calling,labeling	On Thursday afternoon, Ford's <BOS> highly partisan, activist attorney <EOS> emailed Grassley saying, although her client strongly prefers that an investigation take place beforehand, Ford will testify next week, but she cannot do so on Monday. 
doubt	<BOS> She ignored a court order, mixed invalid provisional ballots in with valid ones, and destroyed ballots, but don't worry, a Democrat attorney says that doing so has nothing to do with fraud or corruption <EOS>. 
flag_waving	Barack Obama spent considerable time selling the <BOS> American people <EOS> on the idea of a cooperative Iran — all the while cutting quiet deals, behind closed doors, with the rogue nation. 
exaggeration,minimisation	<BOS> Give left-wingers an inch and they’ll take a mile <EOS>. 
exaggeration,minimisation	“I hope to be able to call this, along with tax cuts and regulation and all the things I’ve done… in its own way <BOS> this might be the most important thing <EOS> because this was corrupt.” 
appeal_to_fear_prejudice	Orbán warned that as <BOS> Western Europe becomes saturated with Muslim occupants, Islamists would soon seek to stream in to his country from both Western Europe as well as from Islamic nations <EOS>. 
not_propaganda	The U.S. can impose sanctions against the <BOS> Iranian regime’s principal instrument for projecting aggressive, destabilizing force outside of its borders without violating the nuclear <EOS> deal. 
not_propaganda	Two other unidentified women told HuffPost that <BOS> Franken grabbed their buttocks at separate events in <EOS> 2007 and 2008. 
appeal_to_fear_prejudice	<BOS> They can remain silent, for which history will be unforgiving. Or they can act in the interests of justice and humanity and bring this remarkable Australian citizen home <EOS>. 
doubt	<BOS> Patel agreed to bring it by, but two days later he told the State Department he had accidentally thrown it away in October and needed a new one <EOS>. 
repetition	Inhuman and criminal <BOS> annihilation <EOS> runs in the veins of many in the West. 
not_propaganda	But one must realize that this council, which exposed itself to human judgment, insisted very much <BOS> more upon this pleasant side of man, rather than on his unpleasant one. <EOS> 
not_propaganda	<BOS> Abid: That was <EOS> my father’s request… 
causal_oversimplification	Feminists <BOS> gave the serial sexual predator Bill Clinton a free pass because his policies were in line with their ideology <EOS>. 
doubt	In answer to my question then head of the USCCB, Wilton Gregory, made an explosive admission reportedby the international press: “it is an ongoing struggle to make sure that the Catholic priesthood is not dominated by homosexual men.” <BOS> The struggle, to the extent there even was one, obviously has been lost <EOS>. 
not_propaganda	"We don't think the fight is hopeless, on <BOS> the contrary, we are winning," Orban said. <EOS> 
repetition	Christopher Chin, head of Homeschool Louisiana, told The Times that parents are fed up with “the violence, the bullying, the unsafe environments.” Many parents are also disturbed by the social engineering, which amounts to brainwashing and <BOS> indoctrination <EOS> that goes on in a public school. 
repetition	<BOS> By removing criminal aliens from the streets, our ICE officers provide an invaluable community service by improving public safety.” <EOS> 
exaggeration,minimisation	Wills concludes: “The Qur’an is not as absolute as this, because it always leaves room for God’s <BOS> inexhaustible mercy and forgiveness <EOS>” (p. 126). 
loaded_language	Such <BOS> wickedness <EOS> should be hated with a perfect hatred. 
not_propaganda	She says <BOS> she is <EOS> just fine at Goldman Sachs Group Inc. 
causal_oversimplification	<BOS> Islam’s core beliefs make it clear that the latter statement is closer to the truth <EOS>. 
not_propaganda	Inspector Fabricio <BOS> Oliveira of Rio de Janeiro’s police department says Frederik <EOS> Barbieri was arrested Saturday morning at his home in Florida. 
not_propaganda	We need <BOS> the Sacrifice of the Mass – <EOS> not a meal only – but the Sacrifice. 
appeal_to_fear_prejudice	Professor Paul Hunter has warned that, while it would be rather easy for an advanced country to contain the disease in its current form, he fears that it could <BOS> evolve into something far more dangerous <EOS>. 
causal_oversimplification	<BOS> Murdering infidels thus doesn’t contradict the spirit of Ramadan; it embodies it <EOS>. 
name_calling,labeling	I have been a journalist for a very long time and I have always worked within the mainstream, but the journalism I see now is part of <BOS> a rapacious establishment <EOS> and one of its prime targets is Julian Assange and WikiLeaks. 
not_propaganda	Depending on <BOS> an alien’s criminality, an alien who re-enters the United States after having been previously deported commits a felony punishable by up to 20 years in federal prison, <EOS> if convicted. 
exaggeration,minimisation	The circumstantial evidence <BOS> overwhelmingly <EOS> establishes that Oswald was working for U.S. intelligence. 
not_propaganda	The system, in <BOS> other words, is stacked against the patient, in favour <EOS> of the government that holds all the cards. 
not_propaganda	Those who have been paying attention to this conflict have been well aware that the U.S. <BOS> has had little material evidence to link Yemen’s Houthis to Iranian arms <EOS> suppliers. 
not_propaganda	Her top role at the NSC represents McMaster’s vision <BOS> for our approach <EOS> to Islam. 
not_propaganda	<BOS> Indeed, Francis claim that he met with and heard the “pain” of the victims is <EOS> untrue in the specific case in hand. 
appeal_to_fear_prejudice	<BOS> We know that the Islamic State, al-Qaeda and other groups have called upon Muslims in the U.S. to try to kill military personnel and police, as well as civilians <EOS>. 
not_propaganda	<BOS> He wrote an excellent analysis of the constitutional <EOS> violations of these “red flag” laws: 
not_propaganda	This report was originally published by Tyler Durden at <BOS> Zero Hedge <EOS> 
flag_waving	To make matters worse (if that is even possible), evidence has surfaced that indicates that a bishop, as well as some priests and laity, had brought the allegations about misconduct with seminarians to the attention of Church authorities but to no avail: Archbishop McCarrick was nonetheless “promoted” to become the archbishop in <BOS> our nation <EOS>’s capital, and elevated to the College of Cardinals. 
causal_oversimplification	And the forces that pushed up into those conflicts, and <BOS> so disillusioned the nation that it elected Barack Obama <EOS>, are back, pushing for a new war, on Iran. 
loaded_language	Plenty of people in Google knew what was going on and we haven’t seen any evidence anyone at Google disapproved of it and <BOS> tried to rein it in <EOS>.” 
not_propaganda	Pamela Geller and I are banned from entering the country for the crime of <BOS> telling the truth <EOS> about Islam and jihad. 
not_propaganda	A penalty is the reaction required by law and justice in response to a fault: penalty and fault are action <BOS> and reaction. <EOS> 
appeal_to_fear_prejudice	He then pointed out that many who cross the border are criminals and are <BOS> coming to engage in criminal activity <EOS>. 
not_propaganda	<BOS> Sorry Austen, we didn’t think of <EOS> it as we were being abused and Juan Barros watching.” 
not_propaganda	We were aware that we were not dealing with a simple matter, but we think that, in view <BOS> of our <EOS> present situation today, we do not have much choice. 
not_propaganda	These reforms – and removals – <BOS> have ceased entirely <EOS> under Francis. 
not_propaganda	Chris Ferrara to <BOS> Robert Fastiggi • 9 hours <EOS> ago 
not_propaganda	Carlson, in his exclusive report on Fox News Monday night, compared the revelations in the Google emails to the probe of Russian interference in the U.S. election to <BOS> Special Counsel Robert Mueller—raising the question about how much influence tech giants like Google and Facebook <EOS> have on election outcomes in the United States. 
loaded_language	Sadly, the picture emerging is one that includes a shocking amount of evidence pointing towards a <BOS> classic deep state false flag operation <EOS>. 
not_propaganda	Only with the ascension of Pope Nicholas II in 1059 was it established that henceforth the cardinal-bishops <BOS> would elect the <EOS> Pope, with the other cardinals having the right to confirm or veto the nominee. 
doubt	“<BOS> The message they were trying to send with the event was opposite to the jokes he was making, and using people’s ethnicity as the crux of his jokes could be funny but still offensive...He definitely wasn’t the most crass comedian I’ve ever heard but for the event it was inappropriate <EOS>,” Warren said. 
doubt	In the meantime, authorities still have not released a conclusive timeline for the shooting <BOS> they desperately want us to believe <EOS> was committed by Paddock. 
not_propaganda	The congresswoman also told Kiko she had <BOS> invited Awan’s whole family to her daughter’s bat mitzvah and said she had “helped him <EOS> with a land deal,” the sources said. 
appeal_to_fear_prejudice	Please consider that in anger and tragedy, the desire for revenge usually overrides reason and an honest answering of the question “must this person’s life be taken to preserve society?” <BOS> The desire for swift and firm convictions has sent many to death who never deserved such a punishment, nor was such a punishment truly necessary for the safety of society <EOS>. 
not_propaganda	They have the same discipline <BOS> and the <EOS> same studies, they make good priests; I think they are good seminarians. 
exaggeration,minimisation	I wanted to <BOS> shout my story to the world with a megaphone <EOS> to anyone who would listen, but even as angry as I was, I was worried about the potential backlash and damage going public might have on my career as a broadcaster. 
not_propaganda	<BOS> White House Press Secretary Sarah <EOS> Sanders said President Trump had ordered the documents released by the Office of the Director of National Intelligence (ODNI) and the Justice Department “[a]t the request of a number of committees of Congress, and for reasons of transparency.” 
name_calling,labeling	During the last 5 years of this papacy, Francis and his <BOS> Synodal Schemers <EOS> masterfully manipulated, rigged, and exploited the synodal process. 
not_propaganda	Two months ago, the Department of Justice quietly offered Wilson a settlement to end a lawsuit he and a group of co-plaintiffs have pursued <BOS> since 2015 against the United States <EOS> government. 
not_propaganda	This <BOS> “contrite” papal apology didn’t fly well even with <EOS> the regular news reporters. 
loaded_language	<BOS> There, I said it <EOS>! 
not_propaganda	The <BOS> same <EOS> applies to statements of Pope Francis and Cardinal Schoenborn mentioned by Ferrara. 
not_propaganda	As Secretaries for Relations with States, they participated several times a week in collegial meetings with <BOS> the Secretary of State. <EOS> 
doubt	<BOS> Professed Christians in America today talk much of love through inaction, and yet know nothing of it (1 John 3:18). They read what to do, but do it not! In fact, they declare and proclaim how much they love God, and yet if you were to have them read His moral law and look to their own lives, they would find how much they actually hate God through their actions (Matthew 15:8 <EOS>). 
exaggeration,minimisation	To take one of <BOS> innumerable examples <EOS>, Sharaf ad-Din Ali Yazdi, a fifteenth-century Persian who wrote a biography of the Mongol Muslim warrior Tamerlane, observed that “the Qur’an says the highest dignity man can attain is that of making war in person against the enemies of his religion. 
not_propaganda	In other words, the only written documentation Ms. Ford has offered in support of her allegation about the incident she said took place while she was in high school – a therapist’s notes of a couples <BOS> therapy session occurring 30 years after the alleged incident – did not mention Judge Kavanaugh’s <EOS> name. 
not_propaganda	Whom do <BOS> you <EOS> consider to be the most corrupt Democrat Politician? 
not_propaganda	"They don’t want a 'German life' in Germany in the sense <BOS> that they are willing to <EOS> accept German values," she added. 
not_propaganda	Ellison’s ex-girlfriend, <BOS> Karen Monahan, <EOS> alleged in August that Ellison dragged her off a bed by her feet while screaming obscenities at her in 2016. 
name_calling,labeling	Trump sought to set up Kim as a bogeyman, and himself as <BOS> America’s savior <EOS>. 
causal_oversimplification	Conservatives need to remember that <BOS> the purpose of the Left’s frenzied, demagogic assault is to damage the nominee, and by extension, the president who nominated him <EOS>. 
not_propaganda	Conclusively <BOS> halt those spring <EOS> and fall military maneuvers that raise the threat of war. 
not_propaganda	That means it is airborne <BOS> and spread by <EOS> sneezing and coughing. 
flag_waving	However, it's being reported that Powell is "not interested" in the post, which is a good thing for <BOS> Americans <EOS>. 
exaggeration,minimisation	It is time to admit that there is a homosexual subculture within the hierarchy of the Catholic Church that is <BOS> wreaking great devastation <EOS> in the vineyard of the Lord. 
not_propaganda	To this day, the area where Sodom and Gomorrah <BOS> were located remains a <EOS> desolate wasteland. 
doubt	<BOS> The Guardian’s coverage of Latin America, especially of populist leftwing governments that have rebelled against traditional and oppressive US hegemony in the region, has long grated with analysts and experts. Its especial venom has been reserved for leftwing figures like Venezuela’s Hugo Chavez, democratically elected but official enemies of the US, rather than the region’s rightwing authoritarians beloved of Washington <EOS>. 
name_calling,labeling	<BOS> The anti-gun Left <EOS> is hopping-mad, now that Judge Brett Kavanaugh has been confirmed to the Supreme Court. 
not_propaganda	The brouhaha over President Trump’s retweets of videos depicting Muslims being violent continues in the UK, and is yet another manifestation of the general tendency <BOS> to blame <EOS> those who call attention to jihad atrocities rather than to focus upon the jihad atrocities themselves. 
appeal_to_fear_prejudice	McMaster said that the “so called liberation of areas by Assad’s forces and Iranian proxies <BOS> could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome <EOS>.” He claimed that the Trump administration’s “objectives are to weaken Iranian influence across the region broadly,” without discussing the means to accomplish those objectives. 
not_propaganda	Should military force be used to stop <BOS> the caravan of migrants marching toward the U.S. border? <EOS> 
flag_waving	So yes, I am going to share some things in this article that are truly disgusting, but the goal is to show you that <BOS> it is time to take our government back from the corrupt career politicians that are completely and utterly out of control <EOS>. 
not_propaganda	Three separate journalists on the papal flight gave the pope opportunity to say why exactly he believed the bishop <BOS> instead of the survivors accusing <EOS> him. 
not_propaganda	Witness: Muslim Democrat IT Aide Awan Wiretapped <BOS> Her, Then <EOS> Bank Account She Controlled Was Drained 
not_propaganda	He says there is a correlation between major changes on the sun <BOS> and the behavior of the <EOS> Earth, especially now as it reaches its 11-year-cycle’s solar minimum. 
not_propaganda	If the IG did know the subject of the president’s <BOS> communications with Clinton, he failed to reveal <EOS> any details. 
not_propaganda	My daughter as well as other students were under the impression all the packet assignments <BOS> were mandatory (the Jewish one <EOS> and the Christian ones were mandatory). 
not_propaganda	As a result of the case, both the DOJ and the <BOS> city of San Francisco <EOS> have changed several policies. 
appeal_to_fear_prejudice	<BOS> We know that the Islamic State, al-Qaeda and other groups have called upon Muslims in the U.S. to try to kill military personnel and police, as well as civilians <EOS>. 
not_propaganda	Stephen Vladeck, a University of Texas law professor, agreed that Sessions cannot stop the Russia <BOS> investigation given that he recused <EOS> himself. 
exaggeration,minimisation	Make no mistake about this: <BOS> Archbishop Viganò is fighting for the very survival of the human element of the Catholic Church <EOS>. 
causal_oversimplification	<BOS> Kritarch Patti Saris thinks she runs immigration policy <EOS>, right down to how many times someone can have their case reviewed, though she seems confused as to who will do the reviewing of those cases. 
not_propaganda	But even at that hearing, the standard of proof is far below the “beyond a <BOS> reasonable doubt” standard used in <EOS> criminal trials. 
not_propaganda	You make it a matter of “mercy” (backed up by the iron fist) that no <BOS> one in <EOS> a state of objective mortal sin can be refused Holy Communion; you give the national bishops conferences the power to start enforcing this, and you have created a previously unimaginable situation in the Church. 
not_propaganda	<BOS> We’re <EOS> working with our partners 24/7 to stop this outbreak. 
exaggeration,minimisation	Pakistan <BOS> ‘ate grass’ for decades <EOS> to afford nuclear weapons to offset the threat from far more powerful India. 
not_propaganda	Since I began this <BOS> work six years ago, now, <EOS> I have evidence that God is assisting us. 
loaded_language	He also said that Soros has "<BOS> ruined <EOS>" millions of lives via his "mafia network." 
flag_waving	"<BOS> I worry about this country <EOS>. 
not_propaganda	As St. Paul declared, <BOS> “Death is swallowed <EOS> up in victory. 
repetition	I'm all for situations like Nikolas Cruz who assaulted teachers and students being arrested and tried and dealt with lawfully, but to go seizing people's property and denying them their liberty base on the hearsay of another person is anti-constitutional and <BOS> anti-American <EOS>. 
appeal_to_fear_prejudice	<BOS> Ghost guns are already a problem; they are used not just by lone shooters but as part of criminal enterprises. Releasing instructions for their manufacture, which now only circulate on the dark Web, will lead directly to the loss of more innocent lives. The administration should stop the State Department from going ahead with this foolhardy move, and Congress should act to plug the loopholes that these guns are designed to take advantage of <EOS>. 
not_propaganda	Anyone who still thinks that political, intellectual, demographic and material factors are what really matter to history, and to society, ought to get with the multiculturalist/Identity Politics program – enroll in a history course at <BOS> an Australian university <EOS> today! 
not_propaganda	Federations will now have extremely broad powers both over money <BOS> and property and, crucially, over formation of <EOS> nuns. 
not_propaganda	<BOS> Speaking of de-nuclearization, why does North Korea not demand that the US get rid <EOS> of its nuclear weapons based in South Korea, Okinawa, Guam and with the 7th Fleet? 
not_propaganda	As already mentioned, the Cardinal had no difficulty in insistently presenting for the episcopate candidates <BOS> known to be active homosexuals — I cite only the well-known case of Vincenzo de Mauro, who was appointed Archbishop-Bishop of Vigevano and later removed because he was undermining <EOS> his seminarians — and in filtering and manipulating the information he conveyed to Pope Benedict. 
doubt	Surely the Church cannot be without any remedy for <BOS> a Pope who relentlessly attacks her very foundations <EOS>! 
flag_waving	By short-circuiting the investigation, Ryan is <BOS> betraying the interest of the American people <EOS> to learn what the FBI and CIA actually did against Trump. 
not_propaganda	<BOS> That means <EOS> nothing. 
exaggeration,minimisation	The streets outside the embassy <BOS> are virtually empty <EOS>, whereas they should be full of people saying that we are with you. 
repetition	Officials also believe he had help because of the amount of guns in his hotel room, and because some of the <BOS> ammo was bought under someone else’s name <EOS>.” 
name_calling,labeling	So, they dig up some <BOS> Trump-hating woman <EOS> from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress. 
not_propaganda	“Motive a mystery in car explosion at Travis Air Force Base” was the Los Angeles Times headline, and this one <BOS> is indeed a <EOS> real mystery. 
not_propaganda	Such mishandling included violations of Department of Justice standards <BOS> and FBI protocols. <EOS> 
not_propaganda	Robert Herbst and Jonathan Kuttab are both supporters of a one-state <BOS> plan for <EOS> eliminating Israel. 
not_propaganda	As has been widely reported, three bishops in Kazakhstan – Tomash Peta, Jan Pawel Lenga, and Athanasius Schneider – issued a Profession of the <BOS> Immutable Truths about Sacramental Marriage on <EOS> Dec. 31, 2017. 
not_propaganda	This is <BOS> still out there. <EOS> 
doubt	<BOS> These are odd statements coming from Pope Francis, a world-class Islamopanderer; notice that he said nothing about who was doing the persecuting, and implied that it was the fault of powers outside the Middle East <EOS>. 
repetition	Hitler <BOS> annihilated <EOS> 400,000 Germans who were handicapped or suffered from chronic diseases. 
not_propaganda	Reprinted with <BOS> permission from The Future <EOS> of Freedom Foundation. 
not_propaganda	Article <BOS> posted with permission from Sons Of Liberty <EOS> Media 
flag_waving	<BOS> This is a national disgrace, the way you're being treated <EOS>.” 
causal_oversimplification	<BOS> I can also assure you that Luke Harding, the Guardian, Washington Post and New York Times have been publishing a stream of deliberate lies, in collusion with the security services <EOS>. 
loaded_language	Quite the contrary, I would expect the neo-Catholic commentariat either to ignore Viganò’s witness, explain away his revelations or, failing that, make every effort <BOS> to smear the man <EOS>. 
not_propaganda	No, keep the <BOS> military out of it. <EOS> 
flag_waving	Those conflicts, mostly centred on migration since people fleeing war and poverty in the Middle East and Africa flooded into Europe in 2015, have intensified as the elections approach and <BOS> Orban poses as a saviour of Europe's Christian nations <EOS>. 
not_propaganda	Pope Francis accused victims of Chile’s most notorious pedophile of slander Thursday, <BOS> an astonishing end to a visit meant to help heal the wounds of a sex abuse scandal that has <EOS> cost the Catholic Church its credibility in the country. 
repetition	He’s also <BOS> never <EOS> criticized the incredibly repressive leaders of Saudi Arabia. 
repetition	Deadly <BOS> Plague Could MUTATE And Become Untreatable <EOS> As It Spreads Globally 
doubt	<BOS> Ms. Ford may believe her story to be true, but the lack of any credible corroborating evidence, her partial memory of details surrounding the alleged incident, and the absence of any pattern of such sexual misconduct by Judge Kavanaugh undercut the reliability of her version of the incident <EOS>. 
not_propaganda	Emails reveal that hours before the announcement, a group called Centro Legal de la Raza sent the mayor <BOS> information <EOS> on what employers should do in case of an ICE raid. 
not_propaganda	“I do think that over the coming days and weeks there will be a strategy that will emerge, and I think it’s possible that strategy might ultimately defeat the nominee,” Seidman said in audio that was recorded by the Republican National <BOS> Committee’s War <EOS> Room. 
not_propaganda	And perhaps someone can explain the wisdom of handing 4 percent of our GDP each <BOS> year to an adversary nation, as U.S. admirals talk tough about confronting that adversary <EOS> nation over islets and reefs in the South China Sea. 
not_propaganda	This <BOS> is <EOS> about justice. 
causal_oversimplification	On the other hand, it could give Trump what he wanted and have to suffer <BOS> the obvious inference that people would draw — that the CIA was continuing to cover up incriminatory evidence <EOS>. 
doubt	In this article, the author was calling out a Christian for protesting a corrupt representative in government, even going so far as to suggest <BOS> this protestant ought to have stayed home to read their Bible rather than to protest corruption in government <EOS>. 
not_propaganda	The <BOS> doctors at Parkland Hospital stated that President Kennedy had a big exit-sized wound in the back of his head, <EOS> which implied a shot having been fired from the front. 
not_propaganda	When dealing with the restoration of the sacred liturgy, the Fathers of the council, by reason of their pastoral concern for the whole Church, considered it of the highest importance to exhort the faithful to participate actively with sound faith and with <BOS> the utmost devotion in the celebration of <EOS> this Most Holy Mystery, to offer it with the priest to God as a sacrifice for their own salvation and for that of the whole world, and to find in it spiritual nourishment. 
appeal_to_fear_prejudice	Be forewarned that inviting young people from ages 16-29 to the Synod to discuss vocations with Bishops <BOS> poses serious moral and physical dangers <EOS> to these unsuspecting youth, many of whom think homosexuality is cool. 
not_propaganda	The script <BOS> is all too familiar: Discredit the survivors’ testimony, support the prelate in question, and bank on public attention <EOS> moving on to something else. 
not_propaganda	© EPA <BOS> Pope Francis's trip to Chile and Peru was overshadowed <EOS> by he row 
flag_waving	One thing to note is that <BOS> Christianity is not Europe's "last hope," it's the world's "only hope." <EOS> 
not_propaganda	He lost his bar license for two years, according <BOS> to Virginia State <EOS> Bar documents. 
loaded_language	The timing is <BOS> eerily <EOS> propitious and providential based on the 5 year deadline. 
loaded_language	<BOS> Seriously <EOS>, it's been four months already! 
doubt	I do think he would support anybody doing that stuff, Bill Nelson… <BOS> But I don’t think he can say it just [be]cause he’s trying to get the moderates and the gun-toting people in North Florida <EOS>…” 
flag_waving	They are, in short, <BOS> our enemies <EOS>. 
not_propaganda	Stability is one <BOS> reason [for autonomy], but is stability understood in such a way that it can obstruct the spirit of <EOS> mission and your availability to the Order and to the Church? 
flag_waving	Ironically, the seizure occurred on the very day that Obama was to give his State of the Union address but predictably, <BOS> he didn’t think that the seizure of Americans was important enough to note <EOS>. 
loaded_language	He is standing alone now, and not only against the most dangerous pontificate in history, but also the forces of hell itself—forces which will do all in their power to silence this <BOS> voice crying in the wilderness <EOS>. 
doubt	Then, addressing a huge crowd on St. Peter’s Square, he asked, “<BOS> Do you want a Church that remains silent when she should speak … a Church that does not condemn the suppression of conscience and does not stand up for the just liberty of the people … a Church that locks herself up within the four walls of her temple in unseemly sycophancy <EOS> …?” 
doubt	<BOS> This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but <EOS>. 
name_calling,labeling	Elijah set the record straight when he answered, "I have not troubled Israel; but thou, and thy father's house, in that ye have forsaken the commandments of <BOS> the LORD <EOS>, and thou hast followed Baalim (1 Kings 18:18). 
flag_waving	Finally, <BOS> I wish to encourage you, dear faithful, my brothers and sisters in Christ <EOS>: never be despondent! 
not_propaganda	the interpretation <BOS> of a law." <EOS> 
not_propaganda	Democrats have been covering <BOS> up his sexual crimes for years, and my hope <EOS> is that now this will start to change. 
not_propaganda	MSM <BOS> Using <EOS> Kavanaugh Sex Scandal to Distract You From Real Reason He Shouldn’t Be Confirmed 
not_propaganda	But Swedish TV reported there were over 300 shootings, <BOS> mostly <EOS> in turf battles between gangs over drugs, protection rackets and prostitution. 
not_propaganda	Several of the affected diplomats <BOS> were recent arrivals at the embassy, which reopened in 2015 as part of Barack <EOS> Obama’s reestablishment of diplomatic relations with Cuba. 
name_calling,labeling	Bishop Morlino has now done it, and we respectfully demand that the rest of the American bishops either follow suit or face the charge of being complicit with <BOS> the degenerate and even criminal shepherds <EOS>, accounts of whose betrayal and vice now dominate the news. 
not_propaganda	The CIA officials were secretly honored for protecting “national security” by removing President Arbenz from office and replacing <BOS> him with a pro-U.S. <EOS> military general. 
not_propaganda	Also joining us now is the attorney for the FBI informant, Victoria Toensing along <BOS> with John and <EOS> Sara. 
causal_oversimplification	For too long we have diminished the reality of sin — we have refused to call a sin a sin — and <BOS> we have excused sin in the name of a mistaken notion of mercy <EOS>. 
name_calling,labeling	Under an <BOS> obscure set of US regulations <EOS> known as the International Trade in Arms Regulations (ITAR), Wilson was accused of exporting weapons without a license, just as if he’d shipped his plastic gun to Mexico rather than put a digital version of it on the internet. 
not_propaganda	Before the sale, Paddock told him "that he was going to go out to the desert <BOS> and put on a light show" with <EOS> the ammunition -- that he was "going to go out and shoot it at night with friends." 
not_propaganda	|National Data || May Jobs: Displacement Stalls, Americans Take All <BOS> New Jobs—But <EOS> For How Long? |
not_propaganda	The New VDARE American Worker Displacement Index (NVDAWDI), our term for the ratio of immigrant to native-born employment growth <BOS> indexes, fell to <EOS> 117.0 from the all-time high,123.0, recorded in April. 
not_propaganda	“Police only arrive in this area for the first time around ten-forty-five p.m. when the body is still <BOS> there.” The victim’s body was eventually was loaded <EOS> into the back of a Ford Raptor pickup truck at 11:50 p.m. and taken away. 
not_propaganda	Assange’s Ecuadorean lawyer, Carlos Poveda, said <BOS> the Guardian report <EOS> was false. 
appeal_to_fear_prejudice	"<BOS> One woman (was) screaming through my door that I should be killed and I should die <EOS>," he told reporters at Friday's news conference. 
loaded_language	<BOS> What are these people smoking? <EOS> 
name_calling,labeling	The Deep State: The Fa... Mike Lofgren Best Price: $7.55 Buy New $6.00 (as of 11:45 EDT - Details) Trump ordered the DOJ to release the text messages of former FBI Director James Comey, his deputy Andrew McCabe, now-fired special agent Peter Strzok, former FBI attorney Lisa Page and <BOS> twice-demoted DOJ official <EOS> Bruce Ohr. 
not_propaganda	That power allows him to direct officials where to focus their resources or to fire <BOS> them <EOS> when he chooses, as Trump did when removing James B. Comey as FBI director last year. 
doubt	<BOS> How in the world can we trust them <EOS> even as they express bias while investigating malfeasance? 
not_propaganda	If you insist on having people with degrees, maybe a degree in agriculture would be a good fit for a big monastic foundation with a lot of land like, say, Clear <BOS> Creek or that new Carmelite place <EOS> in Nebraska. 
appeal_to_fear_prejudice	<BOS> Beware <EOS> sonic weapon attacks, US tells citizens in China 
exaggeration,minimisation	Everything that has happened has been in <BOS> complete and perfect <EOS> continuity between the Before Church and the After Church; there has been no rupture or break with the past. 
flag_waving	I tell you this with all seriousness: <BOS> At some point, the American people will be forced to view these governmental attacks against our Second Amendment liberties as a declaration of war <EOS>. 
not_propaganda	The problem with <BOS> this <EOS> latest fabrication is that Moreno had already released the visitor logs to the Mueller inquiry. 
